state,year,type,flow
AUS,2004,Inflow,161560
AUS,2005,Inflow,187050
AUS,2006,Inflow,245890
AUS,2007,Inflow,292930
AUS,2008,Inflow,302400
AUS,2009,Inflow,199890
AUS,2010,Inflow,188710
AUS,2011,Inflow,240500
AUS,2012,Inflow,240640
AUS,2013,Inflow,209510
AUS,2014,Inflow,210500
AUS,2015,Inflow,230720
AUS,2016,Inflow,279970
AUS,2017,Inflow,254320
AUS,2018,Inflow,254790
AUS,2019,Inflow,224600
AUS,2020,Inflow,23650
AUS,2021,Inflow,222050
AUS,2022,Inflow,550680
AUS,2004,Outflow,-18940
AUS,2005,Outflow,-15270
AUS,2006,Outflow,-13040
AUS,2007,Outflow,-15490
AUS,2008,Outflow,-2440
AUS,2009,Outflow,-3700
AUS,2010,Outflow,-8260
AUS,2011,Outflow,-8420
AUS,2012,Outflow,-10260
AUS,2013,Outflow,-21750
AUS,2014,Outflow,-26390
AUS,2015,Outflow,-24340
AUS,2016,Outflow,-16510
AUS,2017,Outflow,-16090
AUS,2018,Outflow,-13350
AUS,2019,Outflow,-31890
AUS,2020,Outflow,-108640
AUS,2021,Outflow,-18430
AUS,2022,Outflow,-32630
